#threads	base opt
2   0.361991167068481 0.287689924240112
6   0.125685214996338 9.646081924438477E-002
10   7.841396331787109E-002 5.868911743164062E-002
14   5.924296379089355E-002 4.283213615417480E-002
18   4.817605018615723E-002 3.415894508361816E-002
22   4.075503349304199E-002 2.858304977416992E-002
26   3.672003746032715E-002 2.382493019104004E-002
30   3.263211250305176E-002 2.140188217163086E-002
34   2.993297576904297E-002 1.926898956298828E-002
38   2.832889556884766E-002 1.750802993774414E-002
42   2.623605728149414E-002 1.705193519592285E-002
46   2.533292770385742E-002 1.531410217285156E-002
50   2.450895309448242E-002 1.567411422729492E-002
54   2.297592163085938E-002 1.389217376708984E-002
